,textOriginal,cluster
0,Im sorry I'm Indonesia,3
1,American English,4
2,thanks a lot teacherâ¤,1
3,American,4
4,"Australians: Truck ğŸš›, Lolly ğŸ¬, Cookie ğŸª, Jumper, Eggplant ğŸ†.

3 x ğŸ‡ºğŸ‡¸
1 x ğŸ‡¬ğŸ‡§
1 x ğŸ‡¦ğŸ‡º",0
5,Justa learning 1000 words but after minutes forget 999 words ğŸ˜®,1
6,Candy* United States/me calamelo*cuba,0
7,the last one was a dildo,3
8,I said toffeeğŸ˜‚,3
9,And what about chocolateğŸ˜‚,3
11,"There is no such thing as an ""American"" accent. Its very regional",4
12,Working with Americans and Canadians who'll exploit you unless you're a top professional.  This is rubbish Marina. Stick to your English.,4
13,The last one I was watching with my brother and he said that girl is sus,3
14,If chips are fries in uk then is fries chips in uk,0
16,Who the hell is calling it an aubergine?,2
17,"Dear foreigner, do not let the media mislead you about what is happening... Gaza has been under siege for eight days. There is no food, no water, no electricity, and no internet. Children and women are brutally bo*bed every day, hospitals declare that they are unable to absorb The huge number of wo*nded and marty*s...Israel is committing a crim*e against humanity ...and under the eyes of the whole world... And for the ones looking for the truth check @motaz_azaiza @saleh_aljafarawi @ahmedhijazee",3
18,"Hello, please read this ğŸ™ğŸ» This is what is happening in  Pal,est!ne kids are ki. lled here people are defending what is theirs innocent souls are  mu. rd/ered ! They're letting them star""ve to de*a th no water no electricity no food this is barb, aric !  please check these pages and you will see what the western media are hiding from you : @motaz_azaiza @eye.on.palestine  @ahmedhijazee @saleh_aljafarawi STAND WITH PAL,EST!NE and make people see the truth of the bru,tal behaviour of Isr:ael!!! âœŠğŸ»",3
20,"I was born in Syria
Yes I do have one brother
Every Friday and sometimes in Saturday and Thursday
I would like to see you marina
I would like to visit USA",1
22,Very cute Emily â¤,1
23,As a German this is one of the few times I hear a foreigner actually speaking German well. ğŸ˜…ğŸ‘,4
25,Iâ€™m British but I got two British onesâ€¦,4
27,since entrepreneur is taken from French it's really easy for me x),1
29,I fail the last one,3
30,"America:eggplant
British:aubergine
Me:pp",2
31,Me when I'm a mixture of both ğŸ˜‚,3
32,It's similar to French,0
33,"American people:eggplant
Me:dick",2
34,BRUH IM QUATER AMERICA. I SPEAK BOTH LOL,4
35,In Romania is not eggplant is Dick,2
36,"America: candy
British: sweets
My mom: diabetes",0
37,Last he I thought in American she is gonna say penis,4
38,Finally an English speaker that I can understand jajjajajaj thanks for the slangâ¤ï¸,1
39,"Hello, Marina) i have been learning english for 3 years maybe and  now i have b1-b2 level and when i started it was in 2019 year, my level was A1, and now i proud of myself in somthing degreeğŸ˜Š",1
43,"Your face ,,,make some kind of positive attraction,,,the vibe energy bla bla ğŸ¤“ğŸ˜‚,,,informative,,,try differentiating the sentences â€¦âœ¨",1
44,seriously ! i do say this word all the timeğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,3
45,Itâ€™s not only British people who say stuff like that. Itâ€™s kind of sad that Britain get more of the credit about what we both say,4
47,POV my bff explaining English for me because the teacher is confusing,1
48,Who hate british ğŸ‘‡,4
49,"I want to work abroad, have friends from different countries, change my life for the better and show everyone who thinks I'm incapable to achive mygoals , that I'm capable to get my goals.",1
50,"British: Aubergine
American: Eggplant
India: Baigannn ğŸ˜‚ğŸ˜‚",2
51,I did not not know cactus,3
53,I am half British and Half American ğŸ¤¦â˜ ï¸â˜ ï¸ğŸ’€ğŸ’€,4
54,"American :eggplant
British:Aubergine
Bharati/Indian: favourite subject
Aai,baiganğŸ˜‚ğŸ˜‚

Indians will get it",2
57,I speak british,4
59,mam how i can get scalarship in the usa different universities,1
60,Brinjal left the chat,3
61,"American eggplant 
British peni",2
63,Welcome to the USA ğŸ‡ºğŸ‡¸ we donâ€™t play around here.,4
64,TofeeğŸ’€,3
65,Indians - where am i,4
66,your accent is very clear  ..many many thank you mam,4
68,"America = eggplant 
Britisherers= I forgot 
Me= baigan",2
70,"Americans:Eggplant 
 Britishers: Aubergine 
 Le me:Then what brinjal? ğŸ¤”ğŸ˜…",2
71,Bal shoye spaseeba,3
73,How apply school visa,1
75,American ğŸ‡ºğŸ‡¸,4
77,But last one was thanosğŸ†ğŸ†ğŸ†,3
78,"American: cookie
British: biscuit
Indian:biscut
in my house: bicu
ğŸ‘‡",0
79,"American: Eggplant
British: Aubergine




*Me: Di-*",2
80,this makes me feel worse. I donâ€™t want to spend the rest of my life with a shitty Spanish teacher who expects me to be fluent and doesnâ€™t even give a shit abt my mental health. im terrified of Spanish like I think i have spanish class phobia (im being serious)ğŸ˜,1
81,Me who said bringalğŸ˜…,3
82,"The Homework :
first sentence: for 2 years      second sentence: since 2021",3
83,Tips to understand TV news mÃ¡ster Teacher please .,1
84,"Americans:eggplant
British:aubergine 
Me:umm it's an uhh peni",2
85,"American:candy
British:Sweets
Me:lolly",0
87,He lives in 13 long street. I'm visiting my grandma at a hospital. I like traveling in a train. This is my answer.,3
88,"American- pacifier 
Australia- dummy ğŸ’€",4
89,Do Moscot Lemtosh pronunciation please..Tq.,3
90,I said cash at the first one,3
91,"I decided to follow this plan 
Thank u sm ğŸ’“",1
92,Indians who use bothğŸ˜ğŸ˜,4
93,Im 100% American,4
94,ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚Go the best love you so much forever and I think it was love,3
97,"Brithish: abeurgene
American: eggplant
2024: penis",2
99,"I am Indian so 
Truck ğŸš›
Toffee ğŸ¬ 
Biscuit ğŸª
Sweater ğŸ‘•(my grandma calls it swater)
Brinjal ğŸ†",0
100,In germany its ğŸ†aubergine,3
101,"American: Trash can
British: Dust bin


Meanwhile ME: Trash bin ğŸ˜‚ğŸ˜…",4
102,I really appreciate the way you explain clearly every object in your kitchen with a sense of fun â¤,1
103,With cookies and biscuit in British usually if itâ€™s a hard biscuit itâ€™s a biscuit but a soft one is a cookie,0
104,"I am form ğŸ‡®ğŸ‡³ and ur too distinctive  ,cordial person",3
105,"Ameican: eggplant 
British: Aubergine
My language: Di-",2
106,Me who said toffe,3
107,Croastant ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,3
110,How mean are you,3
111,Im from mongoliağŸ˜‚,4
113,lol i speak american english :),4
115,"Me:
TruckğŸ‡ºğŸ‡¸
CandyğŸ‡ºğŸ‡¸
CookieğŸ‡ºğŸ‡¸
JumperğŸ‡¬ğŸ‡§
AubergineğŸ‡¬ğŸ‡§",3
116,"American:candy
British:sweet

Me:toffee",0
117,"American: eggplant
Britishers: Aubergine
Me(Indian): brinjal ğŸ˜‚
American: candy
Britishers: sweet
Me(Indian): choclate ğŸ˜‚",2
118,both,3
119,we bengali like to mix it up we calll them torch light,0
120,And what if i from Hungary? ğŸ‡­ğŸ‡º,4
121,American:sweater      British:jumper         Me:clothesğŸ’€,4
123,"American: eggplant
British: aubergine
Indonesian: terONGğŸ—¿",2
124,Ok i speak both ğŸ—¿,3
126,Its fresh FROIZZ,3
127,Thank you Marina I am from uzbekistan I am a great fan of yours,1
128,"Amrican-Eggplant 
British-aubergine
Me-Dick,nunnu,lulli",2
130,Thats not a sweet nor candy ITS A LOLLY,0
131,Why I found myself in both? damn,3
132,"In last we Indians call it brinjal but I thought dirty and it was 
D......
I......
DISH IN ITS LONG FORM ğŸ˜‚ğŸ˜‚
WHAT DID YOU THINK YOU UNHOLY CHILD ğŸ˜‚ğŸ˜‚ğŸ˜‚",0
133,I love  english language,4
134,us  Indians just do be dominating ğŸ˜…ğŸ˜‚ we speak both ğŸ˜,4
135,Unique representation of ideation in TOEFL and GMAT,3
137,puppy calf calf calf calf kitten,3
140,im american but i thought im british never mind!,4
142,I'm British,4
143,We call it brinjal in India then what english is itğŸ˜®ğŸ˜®ğŸ˜®ğŸ˜®,3
144,No it's bin in Britain,0
145,I say all in Tamil  because  that is my mother language ğŸ˜ŠğŸ˜…,3
146,Am I the one that said di-,3
147,"In india
Trucck
Toffe
Biscuth
Shuter
Bhata",0
150,Thanks so muchâ¤,1
152,"American:eggplant
British :aubergine 
Me: p***s",2
153,American + British + hindi = Indian ğŸ˜…ğŸ˜…ğŸ˜‚,4
154,I called that purple thing and avocado,0
156,I am watching from India.,3
157,"American=egg plant
British=aubergine 
Indian=brinjal ğŸ˜…",2
158,Me : brinjal ( but still i speak American English),4
159,I  was  gna  say  the  worlds  biggest  gyat  DI-,3
160,I have coherent planning for my startup.,1
161,"Hey Marina,
If you are dare enough confront with me.",3
162,In my school we learn British English and I knew half of these,4
163,who said u can make up british accents,4
164,Thank you very much for the very informative lesson!,1
165,ğŸ˜¢Save the people of Palestine ğŸ‡µğŸ‡¸,3
166,"America: eggplant
British: aubergine 

Me: DIC-",2
167,Me telling candy tophy just indian things..,0
168,"People who said tofee and bringal
ğŸ‘‡",3
169,American English,4
170,Who say American English ğŸ‘‰ğŸ»,4
172,Australians:,4
173,Getting all of these questions right from her gives me a confidence boost!,1
174,100% AmericanğŸ˜‚,3
177,"My list;
Money
Truck
Trainers
Band aid
French fries",0
179,Im supposed to speak british but i speak american,4
182,I'm new subscriber mam. And thank you so much for best teaching.,1
183,"Iâ€™m an Australian, which means we usually follow British English, but I say all Americanâ€¦ ğŸ˜­ğŸ˜­",4
184,"Please read this ğŸ™
The Isra*li occupation, a fact even acknowledged by Israel*s, traces back to 1948 when the Balfour Declaration of 1917 pledged support for a Jewish national home in Palest*ne. This historical context is essential to understanding the plight of Palest*n*ans. For over 70 years, Palest*n*ans have endured displacement, restricted movement, and lived under harsh conditions. The term â€œapartheidâ€ aptly describes the segregation and discrimination they face in their own land, marked by numerous Isra*li checkpoints. Despite countless peaceful attempts, oppression persists, leading to further land loss and human suffering. Itâ€™s important to note that Ham*as, often a focus of international attention, emerged as a response to active resistance against this enduring injustice. If you trying to feel sorry for Israel*s today I hope you felt sorry for Palest*n*ans for the past 70 years ğŸ™. Give the people their homes and country back.ğŸ™",3
186,Indians: toffee,0
187,Thank you so much for the information and I really want to study in United States of America,1
188,Mate an indian and i speak british fluently and am 9ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,4
192,"I have a problem. 
When i read, or write english i can understand perfectly, but is hard to me to understand people talking",1
193,"English - eggplant
British - Aubergine


Me - brinjal ğŸ˜…ğŸ˜‚",2
194,"Im an aussie and only 1 of them were right

Cucumber  
Torch
Bin
Servo
Phone",0
195,"Cucumber 
Torch
Bin
Petrol station
Phone",0
196,I am from Malaysian,4
197,Nice.  Teacher,1
198,"I said money instead of bill, but anyways I speak American English",4
201,"Today she's gonna go her home on croissant, sleep onto croissant,  take shower with that croissant and marry with croissantğŸ¥ğŸ˜…ğŸ˜‚",3
203,"no cause I said:
money and shoes",3
204,Nice.  Teacher,1
205,"American :eggplant 
British: aubergine







Me: brinjalğŸ˜…",2
206,Thanks for the phrases it was really helpful.,1
208,"in canada i call it a bill, truck, running shoes, and fresh fries SHOUT OUT TO THE BELGIANS!!",0
209,"I didnÂ´t delete that line of my comment, this media thing did that",3
210,"Great question Marina! I think that technology is making a revolution not only in the way we learn -or even are ""necessary"" as human beings- but only in the political and power system: to whom we confer authority and why?. I think self-conscious people, with a critical mind and self-discipline values and desire to get better, will always defend their rights to speak by themselves, and think by themselves. Technology doesnÂ´t replace our right to think by ourselves. I think that smart self conscious people will always want to learn and acquire foreign languages by themselves to expand their horizons and consciousness. Maybe with the help -assistance of technlogy as a training tool-, never replacing the ability to think by themselves and learning from other human beings. We human beings create the language, and we are the ones that make them evolve, technology is only a tool. But that said, for those people that are lazy, don't care to think by themselves, and blindly trust technology, well, yes, they are just going to use apps. The other people, we are going to continue exercising our brains, imagination and emotions.",1
211,"Her: Bill/Note
Me: ""Money, Cash, Buckarooes""",3
212,I was scared for the eggplant one ğŸ˜‚,2
213,"thank you ,  from Sri Lanka",1
214,"""Petrol"" that means peppa pig is British ğŸ’€",0
215,"Native English speaker here. US born and raised, and I think it's really cool all the different accents. Almost all of the time, native speakers will understand you just fine. Don't be ashamed of your accent. Try to speak clearly, but no reason to try super hard to cover it up all the time.",4
216,"American: trash can
British: dustbin
me: trash bin",0
217,"English is my second language, I always get confused between American and British English",4
218,B2-C1 but i have a lot to learn,1
219,No the biscuit i actually a cookie things like custard creams are biscuits,0
220,"American: Eggplant
British: Aubergine 
Me: Dick",2
221,Iâ€™m feeling the lack of Australian here. Ours is a mix of both but Australia always gets left out like hello our first language is English too,4
222,bruh im from Philipines im supposed to speak tagalog so im english american if thats how you call,4
223,"Please read this ğŸ™
The Israeli occupation, a fact even acknowledged by Israelis, traces back to 1948 when the Balfour Declaration of 1917 pledged support for a Jewish national home in Palestine. This historical context is essential to understanding the plight of Palestinians. For over 70 years, Palestinians have endured displacement, restricted movement, and lived under harsh conditions. The term â€œapartheidâ€ aptly describes the segregation and discrimination they face in their own land, marked by numerous Israeli checkpoints. Despite countless peaceful attempts, oppression persists, leading to further land loss and human suffering. Itâ€™s important to note that Hamas, often a focus of international attention, emerged as a response to active resistance against this enduring injustice. If you trying to feel sorry for Israelis today I hope you felt sorry for Palestinians for the past 70 years ğŸ‡µğŸ‡¸ğŸ™. Give the people their homes and country back.ğŸ‡µğŸ‡¸ğŸ™",1
224,I appreciate you My Beautiful teacher,1
226,What will happen if they donâ€™t reply with di are u goin to die lol,3
229,@linguamarina Hey this is completely unrelated but how can you stay fitğŸ˜Š,1
230,Who saw the eggplant first....,2
232,I really said penis,3
234,the first one was a cucumber,0
235,POV ur dirty minded and something else comes to mind for the last oneğŸ˜…ğŸ˜…,3
238,This is telling I need to keep practicing. Thank u Marina ğŸ˜Š,1
239,That is not a sweater or a thing itâ€™s a hoodieğŸ’…ğŸ¼,3
240,IAM extremly happy to follow you my daughter IAM 60years i adore english IAM mroccan,1
241,POV ur Australian- lollies :),4
242,american english for mr,4
243,5/5 America OHH YEAH AMERICAN ğŸ‡ºğŸ‡¸ SWEET HIME AMERICA ğŸ‡ºğŸ‡¸ ğŸ‡ºğŸ‡¸ ğŸ‡ºğŸ‡¸,4
244,nobody gone say: i ate aubergine taste candy with biscuits and then fell in to the lorry and found a jumper,0
245,Both,3
246,Im Nigerian we got colonized by england so we have same English but i was raised in America so i call it both,4
247,American,4
252,Nice my friend good,3
254,This is my gifts for youâ¤ my friend,3
258,THIS IS A CUCUMBER ğŸ¥’ THIS IS A ZUCCHINI ğŸ .. NO ITS NOT YOU MADE ME LOSE BRAINCELLS,0
259,Amerakin english,4
261,"very important : crucial, vital, indespensable 
very smart: clever , intelligent ,brilliant
very bad; awful, horrendous , 
very big; tremendous, huge, massive , 
very easy : straightforward, handy,",1
262,I ain't even American or British am South African,4
265,"i LOVE YOU, MARINA! OMG. I WAS A SUBSCRIBER WHEN YOU WERE JUST STARTING. I CAN'T BELIEVE THAT YOU'RE NOW 8.9M STRONG!! IT FEELS TOUCHING TO SEE YOUR GROWTH!!",1
266,Whyâ€™s my life so confusing ğŸ˜¢ Iâ€™m from Saudi America Pakistan  and Iâ€™m British but I say mostly America barely speak Arabic ğŸ˜… live in saudi and my accent is kinda weird towards British sometimes but in English ğŸ˜¢,4
267,You're amazing teacher let me clap for her ğŸ‘,1
268,"Americans: candy 
Uk: sweets
Arabs:halwa",0
270,i could make with you every tests in this world which you want,1
272,I am American ğŸ˜Š,4
273,"1: Truck 

2: candy 

3: cookie 

4: sweater ( wtf is jumper  ğŸ’€ ) 

5: Dick",0
274,"Very Good Information You Give, Thank you , keep it up all the best.  I Am  from Pakistan.",1
275,wishing my daughter a fabulous birthday,1
276,why did i call the sweet a lollie,0
277,British is better,4
278,Cookie is same and cand evryt is same so,0
280,"American english 
ğŸ‘‡",4
281,"American: cookie 
British: biscuit 

India: biscut",0
282,In india they call it the petrol station thats why i picked petrol station instead of gas station but all the other ones i got americanğŸ˜‚,0
283,"Hi , Marina. You are a good teacher",1
284,"Her : what's this?
Me : Money ğŸ¤”",3
285,Can you do some series of lessons to prepare for ilets exam in an amazing playlist as usual â¤ï¸â¤ï¸â¤ï¸ we always trust you ğŸ¥ºğŸ¤ğŸ¤ I love u so much ğŸ’‹â™¥ï¸â™¥ï¸ğŸ©¹ from Algeria ğŸ‡©ğŸ‡¿â™“,1
286,"them : Zucchini/Courgette ğŸ˜Š
Me : Cucumber ğŸ˜³







honestly tho it doesnâ€™t look like a zucchini or a courgetteğŸ˜‚ğŸ˜‚ğŸ˜‚",0
287,"American says - candy 
British says. - sweet 

Indians say's - chocolate /toffee",0
288,"19:20 should it not be ""will have ALREADY started"", though?",3
290,May I get the pdf link of this book?,1
291,I have an Australian accent so I say sweeta not sweeterrrr,4
292,"ahh so cringe thats not a biscuit
we also call that cookie...",0
293,"American: eggplant
British: aubergine
And me: bigan",2
295,It's kind of hard,3
296,"Thats not a biscuit thats a cookie
We dont call bicuits and cookies both biscuits",0
298,"In California it is called, ""CRAHW-SAWNT.""",0
299,"we all thougt it would be, yk wht",3
300,british is not a language you are speaking woerd english,4
301,"The kid who is internet addicted


First one FAT 

Second one TAM POT

Third one cookie

Fourth one SWEAT

Last one DIC-",0
302,Nope Indian English,4
304,INDIAN people have mixed english  british/ american,4
305,English ofc,4
306,"American eggplant 
Britiah au ergine 
Me: d*ck",2
309,American English,4
311,"Thank you so much Marina for this video.
In this i leaned few things like try to think in English without translating from your mother tongue.
Talk to people in English.
Name the objects every day to 
see.
Talk to yourself in English without thinking about others.
Try to follow one person, watch his or her content videos daily.
Make a videos of you talking in English.
And lot more ğŸ™ğŸ™",1
313,I'm 100% American,4
315,"Le me

ğŸ¥’ - Cumuber
ğŸ”¦ - Torch
ğŸ—‘ï¸ - Dust bin
â›½ - Petrol bunk
ğŸ“± - Phone",3
317,"Hi dear how do you do I was very busy so that I couldn't able to watched your channel one nice friend too askec with me what's up me. More overi listened lot of channel which British accent is good my vote is only for British accent. In case in future if I born in the world I should born in British only because of which is best ancient language (accent) known. As for I know American is the peep through guys  why am I saying this from the last 10 days war has been started in the mean while American president said, "" That war should be raised because who is gathering all over 40 countries in the world indeed if started like this 3rd world War will be raised so that I pray should not raised the war again so everyone should pray with God as this  dearâ¤",4
319,"Why did i hear "" a virgin """,3
320,I speak EnglishğŸ˜… but kinda I say sweets or candy lol â¤,0
321,I say brinjal instead of aubergine and eggplant,2
322,I'm un india and say british,4
323,"American:eggplant 
British:aubergine 
Me: is that a di**",2
326,Really fascinating video......... Happy for this video.  ... Futhermore you helped me a lot,1
