,textOriginal,cluster
728,"Hi good morning dear how do you do here so very hot we couldn't able to tolerate hot season actually in the mean while rainy season should come but what happened to the season no rain, no cold climate too. In the mean time war also started palestian and isreal and ine more thing when it will be started 3rd world War indeed if it is started soon all essential things would be raise huge price too. So each and everyone should pray for this war should not raise and I have to share with you coming Friday something would be happend seriously both countries says, "" That like this dear I watched 45 videos about war between isreal and palestine. Now a days America said, "" That they would have been joined in the war in case America joined afterwards Russia would be join so perhaps done like this",1
729,Truth is best in any language.tell about running game,3
730,i dont want to offend you! but i suggest you dont try pronounce it in british couse im not offended but it could offend someone else! please dont make this a hate comment.,4
731,"Hi guys I don't know you but,
""I want the best for you, my friend. I'm worried that you could end up in hell if you don't turn to Allah (the only GOD)and His Messenger, Muhammad (peace be upon him)
 So let me  invite you  to Islam that  teaches that there is only one God, Allah, and that Muhammad is his last prophet.   
all you need to do is say the Shahada, which is a declaration of faith: Ashhado Anna la ilah illa ALLAH wa ana Muhammad Rassoul ALLH.
This means ""I testify that there is no god but Allah and I testify that Muhammad is the Messenger of Allah.""

learn more about Islam. Please",1
732,"I think I'm  very poor at this and absolutely need you as a Tudor or I may keel over and die.
Pretty please",1
733,Thank youâ¤â¤â¤â¤,1
735,We call it sweets in america toğŸ˜‚ğŸ˜…,0
737,Thank you for information â¤,1
738,Great,3
739,I love you english speks,4
741,out of all of the vegetables she could've picked she chose the eggplant ğŸ’€ğŸ’€ğŸ’€,2
743,"Hmm, I don't understand what U teach. 
Ur explanatiin too fast, 
It look like Ure being chased by a dog.",1
744,"Knotting cool dot, sharp strings drowning , QUIZZ keys waved ....Verb stressed....Time faking hood phrases...

LEPPERS SLURPING GOLD DAY.

MAY.!!!!



NUDE MONTH....Frozzz?

Lindsay Wallet BOOK READING FLAT JOURNEYS Salary",0
745,"Knotting cool dot, sharp strings drowning , QUIZZ keys waved ....Verb stressed....Time faking hood phrases...

LEPPERS SLURPING GOLD DAY.

MAY.!!!!



NUDE MONTH....Frozzz?

Lindsay Wallet BOOK READING FLAT JOURNEYS Salary",0
746,"Knotting cool dot, sharp strings drowning , QUIZZ keys waved ....Verb stressed....Time faking hood phrases...

LEPPERS SLURPING GOLD DAY.

MAY.!!!!



NUDE MONTH....Frozzz?

Lindsay Wallet BOOK READING FLAT JOURNEYS Salary",0
747,How can I copy the link?,1
748,Why does he laugh when someone speaks English? What is the reason ? Pozdrowienia z Polski.ğŸ™‚,3
749,"Marina, you donâ€™t need to become â€œ like Americanâ€ , be yourself.   
You are trying to assimilate into  this ignorant society, but you and your accent - itâ€™s what make you so  so unique.  Your accent is your heritage, donâ€™t try so hard to get rid of it.",4
750,Wait an au aubergine isn't a big cucumber?,0
752,Me: American ğŸ‡ºğŸ‡¸â˜º,4
753,British,4
754,im british and its not a dust bin its a bin,0
755,The last one ğŸ’€,3
756,"American: eggplant
Britain: aubergine
Russia: penis",2
757,"Thanks a lot,darling.
It was so interesting,and my level is B2.
Keep going.ğŸ‘â˜ºï¸
Have a wonderful time.ğŸ™‹â€â™€ï¸
From Iraq
â¤ï¸ğŸŒ¹â¤ï¸ğŸŒ¹â¤ï¸ğŸŒ¹â¤ï¸ğŸŒ¹â¤ï¸",1
758,"I love your videosâ¤. Watching from Tehran, Iran",1
760,im a mix of both,3
761,"Me:toffee,brinjal,biscot",0
762,Love you and your material Marina.,1
764,"Im my dream school ğŸ¥° thank you for sharing those motivating words , hopefully i will get into Stanford university in 2029 to study business ( bank business)",1
765,wow sweet voice and magical recomendation,1
766,It's pronounced obacheen ok,3
767,Does anyone know all words in an English Dictionary?,0
768,"Thank u for this video

This helped me a lot",1
770,1 cucumber 2 torchlight 3 dustbin 4 petrol bank 5 cell or  phone,0
771,Thank you,1
772,"Amazing Marina!! ğŸ‘ 
What's your suggestion to how get the US visa and come to US by any other visa or case? If you can help me in this section, it would be great.  Cause I really try to come US to study and work but there are some things that don't let to go also y financial situation isn't so good and am personally looking for some full fund scholarship to get but most of them needs TOEFL, IELTS  and more. 
Am from Afghanistan and am always watching your videos and appreciate your time, hard works and amazing energy and enthusiasm that u have motivate me to learn new things and I'm so thankful â¤ ğŸ˜Š 
So I'll be happy if u can help me out with ur incredible experiences and suggestions plz 
Thanks a bunch â¤ğŸŒ¹ğŸ¥°",1
773,British vocabs ğŸ™‹â€â™€ï¸,4
774,"A message to every foreigner who does not know the Palestinian issue.  I wanted to talk about it.  When the First World War broke out, the Zionist entity was hated by the Germans, so they went to Palestine because it was the most peaceful country.  Palestine welcomed them, and after a while they went to the Zionists, telling us that we want our rights, that they wanted to make their own land on Palestinian land, and the Palestinians said it.  This is our land, we cannot give it to you, so they took advantage of the fact that there were a large number of them in Palestine, so they started a war and occupied it.  I imagine that you are helping someone and leaving you and taking your land.  Try to search for Palestine.  God willing, you will benefit.  I am an Arab and I am 14 years old.  I may have a spelling error, but thank you very much.  For everyone who read my comment ğŸ‡¯ğŸ‡´ğŸ‡µğŸ‡¸â¤ï¸",1
775,The other weird thing is we say 'how are you as a greeting' but they don't actually want to hear more ğŸ˜‚,3
776,"American: candy           |  cookie
British: sweets               | biscuit 
 Me: toffee                       |BISCOOT",0
777,Thank you,1
778,then wat da hall is a brinjal,3
779,Thanks Mariya i have started from today,1
780,And l always suggest your channel all my friends and relatives you are really intellegent person for meâ¤,1
781,And l always suggest your channel all my friends and relatives you are really intellegent person for meâ¤,1
783,Hello and conguratulations from Uzbekistan and ald thanks you very very muchâ¤,1
784,That  British accent was brilliant ğŸ”¥,4
790,american but the last one is brinjal,4
794,According to India peaceful country compare to others nation so each and everyone should pray for war. War should be raised in future but I heard so coming Friday would be done big thing to Palestinian nation dear,3
795,Hi how do you do dear I have no chance to message you because last two days back war was started between isreal and Polesthine I think it goes like the same 3 world War will be started soonly because America also ready to support to isreal indeed if America joined in this Russia also would be joined afterwards so everyone should pray war should not be raised in the world it is more dangerous to all over world dear,1
796,Marina listen.I'm still love learning languages)Right now I only start learn Turkish so my brain enjoy.I don't know will it be useful on futureğŸ¥ºğŸ¥ºğŸ¥º,1
798,"Idk im from malaysia so the result
: MIX",3
799,"ğŸ¯ Key Takeaways for quick navigation:
01:39 ğŸ§  Relate new words to yourself for better memorization.
02:09 âœï¸ When encountering newwords in books or movies, write down only those that relate to you or that you've heard before but still don't know.
05:11 ğŸ  Create a memory palace or space with flashcards to associate new words with objects or concepts, aiding memorization.
07:35 ğŸ“š Avoid translating words on flashcards; instead, write explanations in English for better long-term retention.
09:25 ğŸ§  Use the ""90 second method"" to repeat phrases seven to nine times for improved memorization and long-term retention.
11:17 ğŸ“– Incorporate new words into stories or diary entries to practice and remember them effectively.
12:59 ğŸ“ Place post-it notes with new words on objects you see daily to reinforce your memory.
13:41 ğŸ“š Space your learning and focus on 3-5 new words a day for more effective vocabulary acquisition.",1
800,*Chocolate and brinjal left the chat*,3
801,*Brinjal left the chat*,3
802,"I had watched this video and I realized that my listening ability is not bad as i think. Basically the reason is that I do not have the right way to practise listening. Thank linguamarina, your video is extremely useful and it helps me a lot enhance my listening skills",1
803,i am american english,4
805,Thank You so much for making these videos. Because of listening to you my English accent is so good now. I don't have a lot of vocabulary but I am very happy that I now can speak English very easily.,1
806,"Le me-ğŸ˜…
1-truck
2-chocolate
3-biscutğŸ’€/biscuit
4-sweater
5-brinjal
Btw im an Indian
Love ur videos â¤",0
807,Recently I watched one of  your video that you have posted 2 years ago. There is a huge different in the videos and It's amazing. I love the way you are doing now in your videosğŸ˜Šâ¤.,1
808,I am nothing Frome thise,3
809,From Tanzania help me I need to learn English language,1
811,TheğŸ†remind me the BANANA,3
812,that remind me egg doens t belong to eggplant,2
813,Hello Venya and Marina. How are you?,3
814,A wonderful video. I liked it very much. It is the best way to learn. I hope you will make more videos like this,1
816,"Unfortunately the free workbook is not available, I didn't receive it in the mail",1
817,I speak americian in a british accent,4
819,Love youğŸ«¶ the best teacher ever â¤ğŸ¥°,1
820,"American: Eggplant
British: Aubergine

Me: d*ck",2
821,Whatâ€™s going to happen if I speak both,3
823,i want to become a cardiologist,1
824,"Many people speak fast and I can't understand their pronunciation, you are the person who made me fall in love with English.  Thank you!",4
825,In bangladesh we say jacket ğŸ˜‚,3
826,"american:candy
British: Sweets
Me: Toffee",0
827,"Indians knows what to say in brinjal 




Bengiun",3
830,"British: aubergine ğŸ˜
She : egg plantğŸ˜Š
Me : bringal ğŸ™„
ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…",2
832,American ğŸ‰ğŸ‰,4
833,Well not a native speaker so I'm mixing both so i'm speaking brican pronunciation ğŸ˜‚ğŸ˜‚,4
834,1000% American but my country speaks British,4
837,"American: trash can
British: dustbin 
Me: Bin  ğŸ’€",4
838,But in India we would say brinjal ğŸ˜…,3
839,"me who said ""cash"" for the first one: ...",3
842,I have been following linguamarina since 2021,1
843,"thanks, you so much i am learning new words as i am going to take my ielts speaking test. This video is amazing and quite helpful. thanks",1
844,Actually indians say brinjal for eggplantğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,3
846,this is amazing content,1
847,I guess She is bully ğŸ˜‚,3
848,"After being recommended english teaching videos, I can safely say I don't know why I'm here. I speak english, it is literally my first language. Why am I watching videos that teach you to learn english??",1
849,"Such an interesting video, really enjoyed your insights:)",1
850,"Plunge, of course. My reading & listening skills r in C zone but my speaking & writing skills r on B zone.",1
851,I felt so proud at the end with â€œdoneâ€ğŸ˜,1
852,Thanks this vedio helped me most,1
853,Iâ€™m from Orange Park and my uncle is from Jacksonville but weâ€™re still in America in the US,4
854,I'm watching and listening your video.Thank you for helping me to improve my English.,1
856,thought I'm britishğŸ’€ but I'm not lol,3
857,Anyone said bloody at the scarlet,3
859,Thank miss â¤â¤ God blessed you with your family,1
860,In my opinion marina should post about a little more advanced English,1
861,I am American lol,4
862,Say â€œwhy you on my meatâ€,3
863,"I think I am B1 
I gave up half way",3
864,In English fabulous like.,3
865,Wats your workbook name please? Iâ€™m fluent but want to expand my vocabulary and have accent . I have Pakistani accent that I want to change. Fedup of it ğŸ˜”,1
866,I am all ears,3
867,thank you so much but we wanna more videos like that please teacher,1
869,"I'm at B2 :( I thought that I was at C2 since I took your test a couple months ago and the result I got was ""advanced""
I feel disappointed",1
871,"Nononononononooooooooooo WHAT is chips. NO. Chips r chips, fr fries r fr fries. SIMPLE.",0
872,You're the best,1
873,"American-Eggplant
British-Aubergine

Me-PatÃ«llxhan",2
875,"You 're amazing ,I'm a big fan to you please keep going",1
877,I speak bothğŸ˜‚,3
878,"Methods in the video : feeling the touch and  the taste of the subject Iâ€™m reading. 

Me who is reading biology.",1
880,I dont know english how to learn ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢,1
881,What about those who fall in the middle ğŸ˜¢,3
882,"Useful video. Do native Americans also say ""he ased"" omitting the K-sound?",3
883,"Great, thanks for this amazing idea, im waiting for new dialogs! P.s. watching u from ur native country =)",1
884,"Marina, thank you for making this video. I continue to learn English well. Thanks for the advice. We learners need a teacher like you.",1
886,"American: Eggplant
English: Aubergine
Me: cucumbâ€¦. Oh fuck",2
887,Our   linguamarina can do  finger in every pie,3
888,"Marina, thank you for making this vedio. I always remember your advice for learning English. You are the best teacher I have ever known.",1
890,Another fun fact : The word â€œLongâ€ is shorter than the word â€œShortâ€,3
891,"American + British + unknown english = Indians
ğŸ‘‡ If its right",4
893,i m watching this from Uzbekistan. Video is so interesting and well-planned  i always watch your contents coz i really love them. also your pronunciation is clear,1
894,You know you are soo much pretty and beautiful,1
895,"I have doubts about c1 test which is ""if you will follow me...."" I thought where is ""if "", there is no ""will""...",1
896,"U Look Slay in Curly Hair Marina, You Slayed your Outfit too",3
899,"CUCUMBER, JUST USE CUCUMBER!",0
900,That was a cucumber,0
901,I m just started learning English.and I'm so comfortable Americans accent . Yes it's more easy for meğŸ˜Š,4
902,oh i thought it was a cucumber,0
904,My test is in three months. I need 110,1
905,Amarican English,4
906,bro me said tofee,3
907,i speak half british half american,4
908,thanks very much â¤ï¸â¤ï¸,1
909,Indians be toffee*,0
910,"Americans : cookie ğŸª
British : biscuit ğŸª
But Me : Biskut ğŸ˜…ğŸ˜‚",0
911,"You are so much beautiful ğŸ˜, pretty, sweet and 9ice voices â¤ï¸, greetings â™¥ï¸ ğŸ™ to you all the ways from Denmark ğŸ™ ğŸ’– â™¥ï¸ ğŸ‡©ğŸ‡°",1
912,American â¤,4
913,"Britishâ€™s; sweets
American; candy
Arabic; BIS KOOT",0
914,I have struggled with my spoken English all the time. And your video do help me a lot. And l begin to step my foot out,1
915,You're a such an exuberant Individual,3
916,Oh dear what happened to lolly and pullover ğŸ˜¢,3
917,"magenta what the fu- you're colour blind, or is magenta is like too pink colour? people that does this are all colour blind dÃ¹d",3
918,What is this particular model of PORSCHE... please let me know... Respect from Pakistan ğŸ‡µğŸ‡°,3
919,ohhh I thought it was di-,3
921,"Great video, trading come with a lot of benefits And
I have just bought my first house through it.
As a beginner I was scared of loosing my savings but 
Iâ€™m glad I took the bold step that is now favoring me.",1
922,I'm writing on 14th of October and this vidoe has taught me a lot.,1
923,I speak British and I am from Myanmar.,4
924,"Really helpful, I'm impressed.",1
925,I thought it was dick,3
927,Thank you so much for this amazing meditation ğŸ™,1
928,What the fuck last one is brinjal,3
931,American â¤,4
932,Thanks,1
933,Your Russian Accent just Slayed at the first place!!!!,4
934,That intro is really cheesy ğŸ˜‚,1
936,British,4
937,"Marina, You SLAY, ( Actually )",3
938,"Your Vlogs are FIRE, ( Actually )",3
939,"Your Dress is SNATCHED, ( Actually )",3
940,"Marina, This video is a GOAT, ( Actually ),",3
942,"Marina,  This is a *Top-notch* Video, ( Actually ),",1
944,Holy sheesh that knock knock sounds so deep British,4
945,For me learning foreign languages is an obligation because our prophet Mohamed peace be upon him said that who learns a people's language he will be in safe from thier evil and harm,1
947,"American: Eggplant
British: Aubergine

Indians: Aienn? Baigan ğŸ’€",2
948,What is erm?ğŸ¤”,3
949,"me: ""money!, wth- lets try again.. truck! oh thank goodness... shoe! WHAT IN THE- ok.. BANDAID! what is great britan and America doing to us? I'm glad britttish understands at some point.. CHIPS! oh yeah""",4
950,"How many languages do you know?
How do you find time to learn so many languages?",1
952,Thanks a lot for sharing,1
955,Thank you but my speaking doesn't improve,1
956,"I am from India and your video gonna help all those peoples who are really passionate to learn English language, me also ğŸ˜… so I want to say thank you so much for everything â¤",1
957,"Hi! I am Hamza Mehmood. I have experience in graphic designing and computer networking. I can provide you:
Thumbnail designs
Logo design
Video editing
Image editing
I can make thumbnail for your video in FreeğŸ¤—.",1
958,"Hi! I am Hamza Mehmood. I have experience in graphic designing and computer networking. I can provide you:
Thumbnail designs
Logo design
Video editing
Image editing
I can make thumbnail for your video in FreeğŸ¤—.",1
960,Welcome â¤ hopefully u stay permanently!ğŸ‡ºğŸ‡¸,1
963,Why does she make us brits look posh,4
964,Corn is corn,0
965,Nice narrative. You are lovely. â¤,1
966,Nive narrative. You are lovely. â¤,1
969,"hi maam marina, im leonel from phillippines. i started downloading your video specially your english grammar lesson and i learned a lot from it. im still shy to speaking english language  because no one appriciate me here in my local bario. hope you keep making long vedio about english. i making your vedio as my radio to listen every morning while im doing my house choir. i want to send myself to english school to learn english but i dont have money to afford expensive tuition fees. but when i wacth your vedio myself started to dream again to learn in english. thank you for your effort to download vedio like this. this mking me hope to learn english for  free. today is october 09 2023. the day when i found like you teaching is for free.",1
971,Yes all these words. British English without any accent,4
975,Yes i fund it's very important to learn english,1
977,"You ask in AmE, she answers in BrE",3
978,Ik what u were gonna say at first on the last one â˜»,3
979,As an Aussie everything she said was correct EXCEPT jocks itâ€™s not jocks but itâ€™s undies. But she might live in a area that says jocks,3
980,when you said smart phone.,3
981,"American English: eggplant 
British English: aubergine
Indian English: brinjal",2
983,Still didn't hear an Australian,4
984,you are really prity girl i have ever seen.,3
985,My test is in exactly a week and I need to score 98+ on the exam! ğŸ˜…,1
986,"Task with answer,, aside,, is it possible to change on ,, out ,, ?",1
987,Hope you enjoy America ğŸ‡ºğŸ‡¸ dont try changing it though ğŸ˜‰,4
988,"Marina, your content is a sight for sore eyes ğŸ‘ğŸ‘ğŸ‘ Thank you so much for your positivity, energy, smile and great mood. Indeed, now is the time of artificial intelligence and whoever learns how to use it first will be at the top ğŸ˜‰ğŸ˜‰ğŸ˜‰",1
990,"American : Eggplant
British : Aubergine

Me: Di-",2
991,"Hahaha.  Im American and Iâ€™m really quiet at restaurants .  Im not sure where she was around loud people , maybe in a place w loud music?",3
992,my accent is like a jam,4
993,"Hey everyone! My name is Shivesh. I am an Upper intermediate to Advanced English learner and I live in India. I have been studying English for a few years, but now I really want to get a better job. So, I need to improve my English. I am looking for a speaking partner to practice with two times a week. I can meet via Google meet, Zoom, or WhatsApp. Would anyone like to practice with me and improve their English too?",1
994,"Anerican : candy 
Brotish : sweets 
Bhartiya people : toffee",0
995,Russuia is sucks(,3
996,As a british a plain biscut is called biscut a chocolate chip cookie is a cookie,0
997,The plan is not available I tried to send many emails !,1
998,"You are not even an English teacher. 
How can you record a video like that?",1
999,Bro why are people making money off of teaching us only 3 words and calling it a day this women has free time hub,3
