,textOriginal,pred_label,cluster
0,thanks a lot teacherâ¤,Positive Feedback,1
1,Justa learning 1000 words but after minutes forget 999 words ğŸ˜®,Error in the video,1
2,"I was born in Syria
Yes I do have one brother
Every Friday and sometimes in Saturday and Thursday
I would like to see you marina
I would like to visit USA",Personal Story,1
3,Very cute Emily â¤,Positive Feedback,1
4,since entrepreneur is taken from French it's really easy for me x),Joking,1
5,Finally an English speaker that I can understand jajjajajaj thanks for the slangâ¤ï¸,Positive Feedback,1
6,"Hello, Marina) i have been learning english for 3 years maybe and  now i have b1-b2 level and when i started it was in 2019 year, my level was A1, and now i proud of myself in somthing degreeğŸ˜Š",Personal Story,1
7,"Your face ,,,make some kind of positive attraction,,,the vibe energy bla bla ğŸ¤“ğŸ˜‚,,,informative,,,try differentiating the sentences â€¦âœ¨",Joking,1
8,POV my bff explaining English for me because the teacher is confusing,Positive Feedback,1
9,"I want to work abroad, have friends from different countries, change my life for the better and show everyone who thinks I'm incapable to achive mygoals , that I'm capable to get my goals.",Questions,1
10,mam how i can get scalarship in the usa different universities,Questions,1
11,How apply school visa,Questions,1
12,this makes me feel worse. I donâ€™t want to spend the rest of my life with a shitty Spanish teacher who expects me to be fluent and doesnâ€™t even give a shit abt my mental health. im terrified of Spanish like I think i have spanish class phobia (im being serious)ğŸ˜,Personal Story,1
13,Tips to understand TV news mÃ¡ster Teacher please .,Constructive Criticism,1
14,"I decided to follow this plan 
Thank u sm ğŸ’“",Positive Feedback,1
15,I really appreciate the way you explain clearly every object in your kitchen with a sense of fun â¤,Positive Feedback,1
16,Thank you Marina I am from uzbekistan I am a great fan of yours,Positive Feedback,1
17,Thanks so muchâ¤,Positive Feedback,1
18,I have coherent planning for my startup.,New Subscriber,1
19,Thank you very much for the very informative lesson!,New Subscriber,1
20,Getting all of these questions right from her gives me a confidence boost!,Positive Feedback,1
21,I'm new subscriber mam. And thank you so much for best teaching.,New Subscriber,1
22,Thank you so much for the information and I really want to study in United States of America,Positive Feedback,1
23,"I have a problem. 
When i read, or write english i can understand perfectly, but is hard to me to understand people talking",New Subscriber,1
24,Nice.  Teacher,Positive Feedback,1
25,Nice.  Teacher,Positive Feedback,1
26,Thanks for the phrases it was really helpful.,Positive Feedback,1
27,"Great question Marina! I think that technology is making a revolution not only in the way we learn -or even are ""necessary"" as human beings- but only in the political and power system: to whom we confer authority and why?. I think self-conscious people, with a critical mind and self-discipline values and desire to get better, will always defend their rights to speak by themselves, and think by themselves. Technology doesnÂ´t replace our right to think by ourselves. I think that smart self conscious people will always want to learn and acquire foreign languages by themselves to expand their horizons and consciousness. Maybe with the help -assistance of technlogy as a training tool-, never replacing the ability to think by themselves and learning from other human beings. We human beings create the language, and we are the ones that make them evolve, technology is only a tool. But that said, for those people that are lazy, don't care to think by themselves, and blindly trust technology, well, yes, they are just going to use apps. The other people, we are going to continue exercising our brains, imagination and emotions.",Questions,1
28,"thank you ,  from Sri Lanka",Positive Feedback,1
29,B2-C1 but i have a lot to learn,New Subscriber,1
30,"Please read this ğŸ™
The Israeli occupation, a fact even acknowledged by Israelis, traces back to 1948 when the Balfour Declaration of 1917 pledged support for a Jewish national home in Palestine. This historical context is essential to understanding the plight of Palestinians. For over 70 years, Palestinians have endured displacement, restricted movement, and lived under harsh conditions. The term â€œapartheidâ€ aptly describes the segregation and discrimination they face in their own land, marked by numerous Israeli checkpoints. Despite countless peaceful attempts, oppression persists, leading to further land loss and human suffering. Itâ€™s important to note that Hamas, often a focus of international attention, emerged as a response to active resistance against this enduring injustice. If you trying to feel sorry for Israelis today I hope you felt sorry for Palestinians for the past 70 years ğŸ‡µğŸ‡¸ğŸ™. Give the people their homes and country back.ğŸ‡µğŸ‡¸ğŸ™",New Subscriber,1
31,I appreciate you My Beautiful teacher,Positive Feedback,1
32,@linguamarina Hey this is completely unrelated but how can you stay fitğŸ˜Š,Irrelevant,1
33,This is telling I need to keep practicing. Thank u Marina ğŸ˜Š,Positive Feedback,1
34,IAM extremly happy to follow you my daughter IAM 60years i adore english IAM mroccan,Positive Feedback,1
35,"very important : crucial, vital, indespensable 
very smart: clever , intelligent ,brilliant
very bad; awful, horrendous , 
very big; tremendous, huge, massive , 
very easy : straightforward, handy,",Collaboration Offers,1
36,"i LOVE YOU, MARINA! OMG. I WAS A SUBSCRIBER WHEN YOU WERE JUST STARTING. I CAN'T BELIEVE THAT YOU'RE NOW 8.9M STRONG!! IT FEELS TOUCHING TO SEE YOUR GROWTH!!",Positive Feedback,1
37,You're amazing teacher let me clap for her ğŸ‘,Positive Feedback,1
38,i could make with you every tests in this world which you want,Requests for Future Content,1
39,"Very Good Information You Give, Thank you , keep it up all the best.  I Am  from Pakistan.",Positive Feedback,1
40,wishing my daughter a fabulous birthday,Positive Feedback,1
41,"Hi , Marina. You are a good teacher",Positive Feedback,1
42,Can you do some series of lessons to prepare for ilets exam in an amazing playlist as usual â¤ï¸â¤ï¸â¤ï¸ we always trust you ğŸ¥ºğŸ¤ğŸ¤ I love u so much ğŸ’‹â™¥ï¸â™¥ï¸ğŸ©¹ from Algeria ğŸ‡©ğŸ‡¿â™“,Requests for Future Content,1
43,May I get the pdf link of this book?,Requests for Future Content,1
44,"Thank you so much Marina for this video.
In this i leaned few things like try to think in English without translating from your mother tongue.
Talk to people in English.
Name the objects every day to 
see.
Talk to yourself in English without thinking about others.
Try to follow one person, watch his or her content videos daily.
Make a videos of you talking in English.
And lot more ğŸ™ğŸ™",Personal Story,1
45,Really fascinating video......... Happy for this video.  ... Futhermore you helped me a lot,Positive Feedback,1
46,Hi your video is significantly mesmerizing moreover i adore it...... Thank you,Positive Feedback,1
47,Thank you,Positive Feedback,1
48,The best teacher â¤,Positive Feedback,1
49,Nice I am from Bihar India but I like your all video,Positive Feedback,1
50,So easy!,Personal Story,1
51,You speak German very well ğŸ‰ congrats I am learning German also â¤,Positive Feedback,1
52,Your channel is so helpfull thank you so much,Positive Feedback,1
53,How about Iâ€™m interested in making crafts,Positive Feedback,1
54,You are a champion Marina Thank you!,Positive Feedback,1
55,"Hello Marina, I am so grateful for this meditation, which made it very peaceful to face obstructions in the way of TOEFL learning. Thanks, relistening once a day and keep away from anxiety.ğŸ˜…",Positive Feedback,1
56,Very helpful video â¤â¤,Positive Feedback,1
57,"I love your teaching so much.
I love Both accent so much. 
I follow both mam. 
Thank you so much mam.
Excellent Explanation.",New Subscriber,1
58,This is a good way to talk.... for beginners like me...â¤,New Subscriber,1
59,"We did not need this tutorial lool..that's a bad friend, you have been corrupted, she must have been jel",Irrelevant,1
60,"""how to watch a movie faster... skip to the ending"" ğŸ’€",Joking,1
61,"it is too simple,  cant show real level, even around",Error in the video,1
62,You are my prefere teacher â¤â¤â¤,Positive Feedback,1
63,Indians: Learning both of them so that they can write synonyms in exam,Community,1
64,Thank you Marina for teaching us this study plan.,Community,1
65,So i got B1 A1-A2 fully correct than Crashed on B2 and got C1 fullt correct again ;-;  no wonder  i keep being stuck on B1  i dotn have grammar   ideas xD,Positive Feedback,1
66,Thanks...I hope this gonna work,Positive Feedback,1
67,"ğŸ‰ğŸ‰ğŸ‰It's really great sharing wonderful
Superb
Great
I m forming a series i hope u really like it vst and giv ur suggestions how it's",Positive Feedback,1
68,"Hi Marina, thank you for sharing your motivated words,that are still helping me to be so confident while speaking English........... I'm learning English to visit every country in the world and to help the people who are in need,i really want to connect with the world.Thank you soo much Marina for building us strong in English.......ğŸ˜Š",New Subscriber,1
69,Thank you so much for this great video !,Positive Feedback,1
70,"great video! One nit: ""coach"" is pronounced with an ""oh"" like ""football coach"", or ""approach""",Error in the video,1
71,Hi linguamarina can someone talk to you privately?,Questions,1
72,i fell at ease since i followed this Marina's channel,Positive Feedback,1
73,"I've been following Linguamarina for 2 years.

I've been following Lingumarina since 2021.",Positive Feedback,1
74,"For study with you of this lesson,I bought a Porsche",Personal Story,1
75,I took 8 hour in a daily basis during 8 months while living in California Santa Cruz. It lifted my english level a bunch,Personal Story,1
76,"Hi Marina, I tried to download the workbook but I haven't received an email. Thanks",Requests for Future Content,1
77,Iâ€™m from India and I want to buy this book please assist how to make a payment in INR,New Subscriber,1
78,Hi there i am from Bangladesh and you are so good adviser and so cute ğŸ’ğŸŒ¹ğŸŒº,Positive Feedback,1
79,I want to be a Hygienist here in USA but I need to improve my English. Thanks for this meditation.,Personal Story,1
80,"Where do I get all this sections from, e.g. for reading ?",Personal Story,1
81,I need it. Please teacher. Where can i buy it?,Questions,1
82,Learn how to pronounce before you go giving advice. Are the product of the Public School System?,Questions,1
83,Well if you know English very well you can teach us some difficult words you know ğŸ˜Š,Joking,1
84,Thank you,Positive Feedback,1
85,How to download the workbook??,Questions,1
86,I purchased the course maam How to get acess to the work book,Requests for Future Content,1
87,"Youâ€™re right, once you have a basic command of the language, grammar is best learnt in context, by listening to speech and reading texts. Obviously choose input that is of an appropriate level, or a little bit higher. Iâ€™m English, but I cannot explain English grammar, and things like the subjunctive are a mystery to me. Often if I startbto think about a phrase I use, I realise that it doesnâ€™t make sense except as a whole. I might do something in a piecemeal fashion. But why piecemeal? What a weird meaningless word. Or I give someone a leg up. What? I arrived in time. Why in time? I just know the meaning of in and time together.",Questions,1
88,Teach me baby,New Subscriber,1
89,"Hi, I'm Atri! ğŸ˜Š I'm from Iran, pursuing my PhD in Germany. I'm looking to improve my English speaking (B2 level) and would love to connect with a native English speaker. We can discuss life in Germany, culture, language, and more. ğŸ˜Š I'm also open to sharing my useful experiences as an international student here.
Please reply to the comment if you are interested.",New Subscriber,1
90,Very recently I've been watching your channel.  This soo  terrific. Thank you so much for your explanations â¤,New Subscriber,1
91,Nice question and answer keep up good work thanks for sharing â¤ğŸ˜‚,Positive Feedback,1
92,Marina you rock! Love you forever,Positive Feedback,1
93,Hi how do you do dear I have no time to message because last 3 and 4 days I was watching war between isreal and polestine day to day war has been raised,Questions,1
94,"Hi Marina, I have watched this video twice and I won't get tired of doing it.",Personal Story,1
95,"really great video! You inspire me, thank you :D",Positive Feedback,1
96,Wow beautiful place,Positive Feedback,1
97,â¤love you teacher ğŸ‘©â€ğŸ«,Positive Feedback,1
98,Do you know nepali language its too hard to learn,Questions,1
99,"Hi good morning dear how do you do here so very hot we couldn't able to tolerate hot season actually in the mean while rainy season should come but what happened to the season no rain, no cold climate too. In the mean time war also started palestian and isreal and ine more thing when it will be started 3rd world War indeed if it is started soon all essential things would be raise huge price too. So each and everyone should pray for this war should not raise and I have to share with you coming Friday something would be happend seriously both countries says, "" That like this dear I watched 45 videos about war between isreal and palestine. Now a days America said, "" That they would have been joined in the war in case America joined afterwards Russia would be join so perhaps done like this",Questions,1
100,"Hi guys I don't know you but,
""I want the best for you, my friend. I'm worried that you could end up in hell if you don't turn to Allah (the only GOD)and His Messenger, Muhammad (peace be upon him)
 So let me  invite you  to Islam that  teaches that there is only one God, Allah, and that Muhammad is his last prophet.   
all you need to do is say the Shahada, which is a declaration of faith: Ashhado Anna la ilah illa ALLAH wa ana Muhammad Rassoul ALLH.
This means ""I testify that there is no god but Allah and I testify that Muhammad is the Messenger of Allah.""

learn more about Islam. Please",Positive Feedback,1
101,"I think I'm  very poor at this and absolutely need you as a Tudor or I may keel over and die.
Pretty please",Positive Feedback,1
102,Thank youâ¤â¤â¤â¤,Positive Feedback,1
103,Thank you for information â¤,Positive Feedback,1
104,"Hmm, I don't understand what U teach. 
Ur explanatiin too fast, 
It look like Ure being chased by a dog.",Error in the video,1
105,How can I copy the link?,Questions,1
106,"Thanks a lot,darling.
It was so interesting,and my level is B2.
Keep going.ğŸ‘â˜ºï¸
Have a wonderful time.ğŸ™‹â€â™€ï¸
From Iraq
â¤ï¸ğŸŒ¹â¤ï¸ğŸŒ¹â¤ï¸ğŸŒ¹â¤ï¸ğŸŒ¹â¤ï¸",Positive Feedback,1
107,"I love your videosâ¤. Watching from Tehran, Iran",Positive Feedback,1
108,Love you and your material Marina.,Positive Feedback,1
109,"Im my dream school ğŸ¥° thank you for sharing those motivating words , hopefully i will get into Stanford university in 2029 to study business ( bank business)",Positive Feedback,1
110,wow sweet voice and magical recomendation,Positive Feedback,1
111,"Thank u for this video

This helped me a lot",Error in the video,1
112,Thank you,Positive Feedback,1
113,"Amazing Marina!! ğŸ‘ 
What's your suggestion to how get the US visa and come to US by any other visa or case? If you can help me in this section, it would be great.  Cause I really try to come US to study and work but there are some things that don't let to go also y financial situation isn't so good and am personally looking for some full fund scholarship to get but most of them needs TOEFL, IELTS  and more. 
Am from Afghanistan and am always watching your videos and appreciate your time, hard works and amazing energy and enthusiasm that u have motivate me to learn new things and I'm so thankful â¤ ğŸ˜Š 
So I'll be happy if u can help me out with ur incredible experiences and suggestions plz 
Thanks a bunch â¤ğŸŒ¹ğŸ¥°",Positive Feedback,1
114,"A message to every foreigner who does not know the Palestinian issue.  I wanted to talk about it.  When the First World War broke out, the Zionist entity was hated by the Germans, so they went to Palestine because it was the most peaceful country.  Palestine welcomed them, and after a while they went to the Zionists, telling us that we want our rights, that they wanted to make their own land on Palestinian land, and the Palestinians said it.  This is our land, we cannot give it to you, so they took advantage of the fact that there were a large number of them in Palestine, so they started a war and occupied it.  I imagine that you are helping someone and leaving you and taking your land.  Try to search for Palestine.  God willing, you will benefit.  I am an Arab and I am 14 years old.  I may have a spelling error, but thank you very much.  For everyone who read my comment ğŸ‡¯ğŸ‡´ğŸ‡µğŸ‡¸â¤ï¸",Personal Story,1
115,Thank you,Positive Feedback,1
116,Thanks Mariya i have started from today,Positive Feedback,1
117,And l always suggest your channel all my friends and relatives you are really intellegent person for meâ¤,Positive Feedback,1
118,And l always suggest your channel all my friends and relatives you are really intellegent person for meâ¤,Positive Feedback,1
119,Hello and conguratulations from Uzbekistan and ald thanks you very very muchâ¤,Positive Feedback,1
120,Hi how do you do dear I have no chance to message you because last two days back war was started between isreal and Polesthine I think it goes like the same 3 world War will be started soonly because America also ready to support to isreal indeed if America joined in this Russia also would be joined afterwards so everyone should pray war should not be raised in the world it is more dangerous to all over world dear,Questions,1
121,Marina listen.I'm still love learning languages)Right now I only start learn Turkish so my brain enjoy.I don't know will it be useful on futureğŸ¥ºğŸ¥ºğŸ¥º,New Subscriber,1
122,"ğŸ¯ Key Takeaways for quick navigation:
01:39 ğŸ§  Relate new words to yourself for better memorization.
02:09 âœï¸ When encountering newwords in books or movies, write down only those that relate to you or that you've heard before but still don't know.
05:11 ğŸ  Create a memory palace or space with flashcards to associate new words with objects or concepts, aiding memorization.
07:35 ğŸ“š Avoid translating words on flashcards; instead, write explanations in English for better long-term retention.
09:25 ğŸ§  Use the ""90 second method"" to repeat phrases seven to nine times for improved memorization and long-term retention.
11:17 ğŸ“– Incorporate new words into stories or diary entries to practice and remember them effectively.
12:59 ğŸ“ Place post-it notes with new words on objects you see daily to reinforce your memory.
13:41 ğŸ“š Space your learning and focus on 3-5 new words a day for more effective vocabulary acquisition.",Positive Feedback,1
123,"I had watched this video and I realized that my listening ability is not bad as i think. Basically the reason is that I do not have the right way to practise listening. Thank linguamarina, your video is extremely useful and it helps me a lot enhance my listening skills",New Subscriber,1
124,Thank You so much for making these videos. Because of listening to you my English accent is so good now. I don't have a lot of vocabulary but I am very happy that I now can speak English very easily.,New Subscriber,1
125,Recently I watched one of  your video that you have posted 2 years ago. There is a huge different in the videos and It's amazing. I love the way you are doing now in your videosğŸ˜Šâ¤.,New Subscriber,1
126,From Tanzania help me I need to learn English language,Requests for Future Content,1
127,A wonderful video. I liked it very much. It is the best way to learn. I hope you will make more videos like this,Requests for Future Content,1
128,"Unfortunately the free workbook is not available, I didn't receive it in the mail",Requests for Future Content,1
129,Love youğŸ«¶ the best teacher ever â¤ğŸ¥°,Positive Feedback,1
130,i want to become a cardiologist,Personal Story,1
131,I have been following linguamarina since 2021,Positive Feedback,1
132,"thanks, you so much i am learning new words as i am going to take my ielts speaking test. This video is amazing and quite helpful. thanks",Personal Story,1
133,this is amazing content,Personal Story,1
134,"After being recommended english teaching videos, I can safely say I don't know why I'm here. I speak english, it is literally my first language. Why am I watching videos that teach you to learn english??",New Subscriber,1
135,"Such an interesting video, really enjoyed your insights:)",New Subscriber,1
136,"Plunge, of course. My reading & listening skills r in C zone but my speaking & writing skills r on B zone.",Questions,1
137,I felt so proud at the end with â€œdoneâ€ğŸ˜,Positive Feedback,1
138,Thanks this vedio helped me most,Positive Feedback,1
139,I'm watching and listening your video.Thank you for helping me to improve my English.,Positive Feedback,1
140,Thank miss â¤â¤ God blessed you with your family,Positive Feedback,1
141,In my opinion marina should post about a little more advanced English,Community,1
142,Wats your workbook name please? Iâ€™m fluent but want to expand my vocabulary and have accent . I have Pakistani accent that I want to change. Fedup of it ğŸ˜”,New Subscriber,1
143,thank you so much but we wanna more videos like that please teacher,Requests for Future Content,1
144,"I'm at B2 :( I thought that I was at C2 since I took your test a couple months ago and the result I got was ""advanced""
I feel disappointed",Personal Story,1
145,You're the best,Positive Feedback,1
146,"You 're amazing ,I'm a big fan to you please keep going",Positive Feedback,1
147,"Methods in the video : feeling the touch and  the taste of the subject Iâ€™m reading. 

Me who is reading biology.",Personal Story,1
148,I dont know english how to learn ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢,Joking,1
149,"Great, thanks for this amazing idea, im waiting for new dialogs! P.s. watching u from ur native country =)",Positive Feedback,1
150,"Marina, thank you for making this video. I continue to learn English well. Thanks for the advice. We learners need a teacher like you.",New Subscriber,1
151,"Marina, thank you for making this vedio. I always remember your advice for learning English. You are the best teacher I have ever known.",New Subscriber,1
152,i m watching this from Uzbekistan. Video is so interesting and well-planned  i always watch your contents coz i really love them. also your pronunciation is clear,New Subscriber,1
153,You know you are soo much pretty and beautiful,Positive Feedback,1
154,"I have doubts about c1 test which is ""if you will follow me...."" I thought where is ""if "", there is no ""will""...",Questions,1
155,My test is in three months. I need 110,Personal Story,1
156,thanks very much â¤ï¸â¤ï¸,Positive Feedback,1
157,"You are so much beautiful ğŸ˜, pretty, sweet and 9ice voices â¤ï¸, greetings â™¥ï¸ ğŸ™ to you all the ways from Denmark ğŸ™ ğŸ’– â™¥ï¸ ğŸ‡©ğŸ‡°",Positive Feedback,1
158,I have struggled with my spoken English all the time. And your video do help me a lot. And l begin to step my foot out,Personal Story,1
159,"Great video, trading come with a lot of benefits And
I have just bought my first house through it.
As a beginner I was scared of loosing my savings but 
Iâ€™m glad I took the bold step that is now favoring me.",Positive Feedback,1
160,I'm writing on 14th of October and this vidoe has taught me a lot.,Personal Story,1
161,"Really helpful, I'm impressed.",Positive Feedback,1
162,Thank you so much for this amazing meditation ğŸ™,Positive Feedback,1
163,Thanks,Positive Feedback,1
164,That intro is really cheesy ğŸ˜‚,Joking,1
165,"Marina,  This is a *Top-notch* Video, ( Actually ),",Positive Feedback,1
166,For me learning foreign languages is an obligation because our prophet Mohamed peace be upon him said that who learns a people's language he will be in safe from thier evil and harm,New Subscriber,1
167,"How many languages do you know?
How do you find time to learn so many languages?",Questions,1
168,Thanks a lot for sharing,Positive Feedback,1
169,Thank you but my speaking doesn't improve,Positive Feedback,1
170,"I am from India and your video gonna help all those peoples who are really passionate to learn English language, me also ğŸ˜… so I want to say thank you so much for everything â¤",Positive Feedback,1
171,"Hi! I am Hamza Mehmood. I have experience in graphic designing and computer networking. I can provide you:
Thumbnail designs
Logo design
Video editing
Image editing
I can make thumbnail for your video in FreeğŸ¤—.",New Subscriber,1
172,"Hi! I am Hamza Mehmood. I have experience in graphic designing and computer networking. I can provide you:
Thumbnail designs
Logo design
Video editing
Image editing
I can make thumbnail for your video in FreeğŸ¤—.",New Subscriber,1
173,Welcome â¤ hopefully u stay permanently!ğŸ‡ºğŸ‡¸,Positive Feedback,1
174,Nice narrative. You are lovely. â¤,Positive Feedback,1
175,Nive narrative. You are lovely. â¤,Positive Feedback,1
176,"hi maam marina, im leonel from phillippines. i started downloading your video specially your english grammar lesson and i learned a lot from it. im still shy to speaking english language  because no one appriciate me here in my local bario. hope you keep making long vedio about english. i making your vedio as my radio to listen every morning while im doing my house choir. i want to send myself to english school to learn english but i dont have money to afford expensive tuition fees. but when i wacth your vedio myself started to dream again to learn in english. thank you for your effort to download vedio like this. this mking me hope to learn english for  free. today is october 09 2023. the day when i found like you teaching is for free.",Personal Story,1
177,Yes i fund it's very important to learn english,Questions,1
178,My test is in exactly a week and I need to score 98+ on the exam! ğŸ˜…,Joking,1
179,"Task with answer,, aside,, is it possible to change on ,, out ,, ?",Questions,1
180,"Marina, your content is a sight for sore eyes ğŸ‘ğŸ‘ğŸ‘ Thank you so much for your positivity, energy, smile and great mood. Indeed, now is the time of artificial intelligence and whoever learns how to use it first will be at the top ğŸ˜‰ğŸ˜‰ğŸ˜‰",Positive Feedback,1
181,"Hey everyone! My name is Shivesh. I am an Upper intermediate to Advanced English learner and I live in India. I have been studying English for a few years, but now I really want to get a better job. So, I need to improve my English. I am looking for a speaking partner to practice with two times a week. I can meet via Google meet, Zoom, or WhatsApp. Would anyone like to practice with me and improve their English too?",Personal Story,1
182,The plan is not available I tried to send many emails !,Requests for Future Content,1
