,textOriginal,cluster,pred_label
11,You explain everything I love it â¤,1,Positive Feedback
28,"I thought , i am A2 before i watch this video but now i realize that i am B1 
Thanks from your video â¤",1,Error in the video
39,Please don't  Choose this picture In your video( Cover) because it's no halal for Muslim people. We hope you understand us .Thank you.,1,Error in the video
51,"HI MARINA, I AM ALL EARS WHILE I AM WATCHING YOUR VIDEO.",1,Positive Feedback
55,10:09 Thank you Marina for this meditation. It relly helped me boost my connfidence!,1,Positive Feedback
92,thanks a lot teacherâ¤,1,Positive Feedback
95,Justa learning 1000 words but after minutes forget 999 words ğŸ˜®,1,Error in the video
110,"I was born in Syria
Yes I do have one brother
Every Friday and sometimes in Saturday and Thursday
I would like to see you marina
I would like to visit USA",1,Personal Story
112,Very cute Emily â¤,1,Positive Feedback
117,since entrepreneur is taken from French it's really easy for me x),1,Joking
128,Finally an English speaker that I can understand jajjajajaj thanks for the slangâ¤ï¸,1,Positive Feedback
129,"Hello, Marina) i have been learning english for 3 years maybe and  now i have b1-b2 level and when i started it was in 2019 year, my level was A1, and now i proud of myself in somthing degreeğŸ˜Š",1,Personal Story
133,"Your face ,,,make some kind of positive attraction,,,the vibe energy bla bla ğŸ¤“ğŸ˜‚,,,informative,,,try differentiating the sentences â€¦âœ¨",1,Joking
137,POV my bff explaining English for me because the teacher is confusing,1,Positive Feedback
139,"I want to work abroad, have friends from different countries, change my life for the better and show everyone who thinks I'm incapable to achive mygoals , that I'm capable to get my goals.",1,Questions
149,mam how i can get scalarship in the usa different universities,1,Questions
163,How apply school visa,1,Questions
170,this makes me feel worse. I donâ€™t want to spend the rest of my life with a shitty Spanish teacher who expects me to be fluent and doesnâ€™t even give a shit abt my mental health. im terrified of Spanish like I think i have spanish class phobia (im being serious)ğŸ˜,1,Personal Story
173,Tips to understand TV news mÃ¡ster Teacher please .,1,Constructive Criticism
181,"I decided to follow this plan 
Thank u sm ğŸ’“",1,Positive Feedback
192,I really appreciate the way you explain clearly every object in your kitchen with a sense of fun â¤,1,Positive Feedback
217,Thank you Marina I am from uzbekistan I am a great fan of yours,1,Positive Feedback
240,Thanks so muchâ¤,1,Positive Feedback
250,I have coherent planning for my startup.,1,New Subscriber
254,Thank you very much for the very informative lesson!,1,New Subscriber
263,Getting all of these questions right from her gives me a confidence boost!,1,Positive Feedback
272,I'm new subscriber mam. And thank you so much for best teaching.,1,New Subscriber
277,Thank you so much for the information and I really want to study in United States of America,1,Positive Feedback
282,"I have a problem. 
When i read, or write english i can understand perfectly, but is hard to me to understand people talking",1,New Subscriber
287,Nice.  Teacher,1,Positive Feedback
294,Nice.  Teacher,1,Positive Feedback
296,Thanks for the phrases it was really helpful.,1,Positive Feedback
300,"Great question Marina! I think that technology is making a revolution not only in the way we learn -or even are ""necessary"" as human beings- but only in the political and power system: to whom we confer authority and why?. I think self-conscious people, with a critical mind and self-discipline values and desire to get better, will always defend their rights to speak by themselves, and think by themselves. Technology doesnÂ´t replace our right to think by ourselves. I think that smart self conscious people will always want to learn and acquire foreign languages by themselves to expand their horizons and consciousness. Maybe with the help -assistance of technlogy as a training tool-, never replacing the ability to think by themselves and learning from other human beings. We human beings create the language, and we are the ones that make them evolve, technology is only a tool. But that said, for those people that are lazy, don't care to think by themselves, and blindly trust technology, well, yes, they are just going to use apps. The other people, we are going to continue exercising our brains, imagination and emotions.",1,Questions
303,"thank you ,  from Sri Lanka",1,Positive Feedback
308,B2-C1 but i have a lot to learn,1,New Subscriber
313,"Please read this ğŸ™
The Israeli occupation, a fact even acknowledged by Israelis, traces back to 1948 when the Balfour Declaration of 1917 pledged support for a Jewish national home in Palestine. This historical context is essential to understanding the plight of Palestinians. For over 70 years, Palestinians have endured displacement, restricted movement, and lived under harsh conditions. The term â€œapartheidâ€ aptly describes the segregation and discrimination they face in their own land, marked by numerous Israeli checkpoints. Despite countless peaceful attempts, oppression persists, leading to further land loss and human suffering. Itâ€™s important to note that Hamas, often a focus of international attention, emerged as a response to active resistance against this enduring injustice. If you trying to feel sorry for Israelis today I hope you felt sorry for Palestinians for the past 70 years ğŸ‡µğŸ‡¸ğŸ™. Give the people their homes and country back.ğŸ‡µğŸ‡¸ğŸ™",1,New Subscriber
319,@linguamarina Hey this is completely unrelated but how can you stay fitğŸ˜Š,1,Irrelevant
328,This is telling I need to keep practicing. Thank u Marina ğŸ˜Š,1,Positive Feedback
330,IAM extremly happy to follow you my daughter IAM 60years i adore english IAM mroccan,1,Positive Feedback
351,"very important : crucial, vital, indespensable 
very smart: clever , intelligent ,brilliant
very bad; awful, horrendous , 
very big; tremendous, huge, massive , 
very easy : straightforward, handy,",1,Collaboration Offers
355,"i LOVE YOU, MARINA! OMG. I WAS A SUBSCRIBER WHEN YOU WERE JUST STARTING. I CAN'T BELIEVE THAT YOU'RE NOW 8.9M STRONG!! IT FEELS TOUCHING TO SEE YOUR GROWTH!!",1,Positive Feedback
357,You're amazing teacher let me clap for her ğŸ‘,1,Positive Feedback
360,i could make with you every tests in this world which you want,1,Requests for Future Content
364,"Very Good Information You Give, Thank you , keep it up all the best.  I Am  from Pakistan.",1,Positive Feedback
365,wishing my daughter a fabulous birthday,1,Positive Feedback
373,"Hi , Marina. You are a good teacher",1,Positive Feedback
375,Can you do some series of lessons to prepare for ilets exam in an amazing playlist as usual â¤ï¸â¤ï¸â¤ï¸ we always trust you ğŸ¥ºğŸ¤ğŸ¤ I love u so much ğŸ’‹â™¥ï¸â™¥ï¸ğŸ©¹ from Algeria ğŸ‡©ğŸ‡¿â™“,1,Requests for Future Content
380,May I get the pdf link of this book?,1,Requests for Future Content
401,"Thank you so much Marina for this video.
In this i leaned few things like try to think in English without translating from your mother tongue.
Talk to people in English.
Name the objects every day to 
see.
Talk to yourself in English without thinking about others.
Try to follow one person, watch his or her content videos daily.
Make a videos of you talking in English.
And lot more ğŸ™ğŸ™",1,Personal Story
416,Really fascinating video......... Happy for this video.  ... Futhermore you helped me a lot,1,Positive Feedback
421,Hi your video is significantly mesmerizing moreover i adore it...... Thank you,1,Positive Feedback
422,Thank you,1,Positive Feedback
428,The best teacher â¤,1,Positive Feedback
430,Nice I am from Bihar India but I like your all video,1,Positive Feedback
435,So easy!,1,Personal Story
446,You speak German very well ğŸ‰ congrats I am learning German also â¤,1,Positive Feedback
462,Your channel is so helpfull thank you so much,1,Positive Feedback
468,How about Iâ€™m interested in making crafts,1,Positive Feedback
474,You are a champion Marina Thank you!,1,Positive Feedback
480,"Hello Marina, I am so grateful for this meditation, which made it very peaceful to face obstructions in the way of TOEFL learning. Thanks, relistening once a day and keep away from anxiety.ğŸ˜…",1,Positive Feedback
493,Thank you ğŸ™Œâœ¨,1,Positive Feedback
494,Very helpful video â¤â¤,1,Positive Feedback
495,"I love your teaching so much.
I love Both accent so much. 
I follow both mam. 
Thank you so much mam.
Excellent Explanation.",1,New Subscriber
514,This is a good way to talk.... for beginners like me...â¤,1,New Subscriber
521,"We did not need this tutorial lool..that's a bad friend, you have been corrupted, she must have been jel",1,Irrelevant
538,"""how to watch a movie faster... skip to the ending"" ğŸ’€",1,Joking
545,"it is too simple,  cant show real level, even around",1,Error in the video
552,You are my prefere teacher â¤â¤â¤,1,Positive Feedback
569,Indians: Learning both of them so that they can write synonyms in exam,1,Community
572,Thank you Marina for teaching us this study plan.,1,Community
574,So i got B1 A1-A2 fully correct than Crashed on B2 and got C1 fullt correct again ;-;  no wonder  i keep being stuck on B1  i dotn have grammar   ideas xD,1,Positive Feedback
597,Thanks...I hope this gonna work,1,Positive Feedback
598,"ğŸ‰ğŸ‰ğŸ‰It's really great sharing wonderful
Superb
Great
I m forming a series i hope u really like it vst and giv ur suggestions how it's",1,Positive Feedback
603,"Hi Marina, thank you for sharing your motivated words,that are still helping me to be so confident while speaking English........... I'm learning English to visit every country in the world and to help the people who are in need,i really want to connect with the world.Thank you soo much Marina for building us strong in English.......ğŸ˜Š",1,New Subscriber
609,Thank you so much for this great video !,1,Positive Feedback
618,"great video! One nit: ""coach"" is pronounced with an ""oh"" like ""football coach"", or ""approach""",1,Error in the video
622,Hi linguamarina can someone talk to you privately?,1,Questions
653,i fell at ease since i followed this Marina's channel,1,Positive Feedback
660,"I've been following Linguamarina for 2 years.

I've been following Lingumarina since 2021.",1,Positive Feedback
678,"For study with you of this lesson,I bought a Porsche",1,Personal Story
679,I took 8 hour in a daily basis during 8 months while living in California Santa Cruz. It lifted my english level a bunch,1,Personal Story
681,"Hi Marina, I tried to download the workbook but I haven't received an email. Thanks",1,Requests for Future Content
682,Iâ€™m from India and I want to buy this book please assist how to make a payment in INR,1,New Subscriber
687,Hi there i am from Bangladesh and you are so good adviser and so cute ğŸ’ğŸŒ¹ğŸŒº,1,Positive Feedback
690,I want to be a Hygienist here in USA but I need to improve my English. Thanks for this meditation.,1,Personal Story
699,"Where do I get all this sections from, e.g. for reading ?",1,Personal Story
707,I need it. Please teacher. Where can i buy it?,1,Questions
708,Learn how to pronounce before you go giving advice. Are the product of the Public School System?,1,Questions
715,Well if you know English very well you can teach us some difficult words you know ğŸ˜Š,1,Joking
718,Thank you,1,Positive Feedback
720,How to download the workbook??,1,Questions
721,I purchased the course maam How to get acess to the work book,1,Requests for Future Content
722,"Youâ€™re right, once you have a basic command of the language, grammar is best learnt in context, by listening to speech and reading texts. Obviously choose input that is of an appropriate level, or a little bit higher. Iâ€™m English, but I cannot explain English grammar, and things like the subjunctive are a mystery to me. Often if I startbto think about a phrase I use, I realise that it doesnâ€™t make sense except as a whole. I might do something in a piecemeal fashion. But why piecemeal? What a weird meaningless word. Or I give someone a leg up. What? I arrived in time. Why in time? I just know the meaning of in and time together.",1,Questions
728,Teach me baby,1,New Subscriber
736,"Hi, I'm Atri! ğŸ˜Š I'm from Iran, pursuing my PhD in Germany. I'm looking to improve my English speaking (B2 level) and would love to connect with a native English speaker. We can discuss life in Germany, culture, language, and more. ğŸ˜Š I'm also open to sharing my useful experiences as an international student here.
Please reply to the comment if you are interested.",1,New Subscriber
740,Very recently I've been watching your channel.  This soo  terrific. Thank you so much for your explanations â¤,1,New Subscriber
756,Nice question and answer keep up good work thanks for sharing â¤ğŸ˜‚,1,Positive Feedback
763,Marina you rock! Love you forever,1,Positive Feedback
769,Hi how do you do dear I have no time to message because last 3 and 4 days I was watching war between isreal and polestine day to day war has been raised,1,Questions
770,"Hi Marina, I have watched this video twice and I won't get tired of doing it.",1,Personal Story
785,"really great video! You inspire me, thank you :D",1,Positive Feedback
798,Wow beautiful place,1,Positive Feedback
799,â¤love you teacher ğŸ‘©â€ğŸ«,1,Positive Feedback
816,Do you know nepali language its too hard to learn,1,Questions
818,"Hi good morning dear how do you do here so very hot we couldn't able to tolerate hot season actually in the mean while rainy season should come but what happened to the season no rain, no cold climate too. In the mean time war also started palestian and isreal and ine more thing when it will be started 3rd world War indeed if it is started soon all essential things would be raise huge price too. So each and everyone should pray for this war should not raise and I have to share with you coming Friday something would be happend seriously both countries says, "" That like this dear I watched 45 videos about war between isreal and palestine. Now a days America said, "" That they would have been joined in the war in case America joined afterwards Russia would be join so perhaps done like this",1,Questions
821,"Hi guys I don't know you but,
""I want the best for you, my friend. I'm worried that you could end up in hell if you don't turn to Allah (the only GOD)and His Messenger, Muhammad (peace be upon him)
 So let me  invite you  to Islam that  teaches that there is only one God, Allah, and that Muhammad is his last prophet.   
all you need to do is say the Shahada, which is a declaration of faith: Ashhado Anna la ilah illa ALLAH wa ana Muhammad Rassoul ALLH.
This means ""I testify that there is no god but Allah and I testify that Muhammad is the Messenger of Allah.""

learn more about Islam. Please",1,Positive Feedback
822,"I think I'm  very poor at this and absolutely need you as a Tudor or I may keel over and die.
Pretty please",1,Positive Feedback
823,Thank youâ¤â¤â¤â¤,1,Positive Feedback
827,Thank you for information â¤,1,Positive Feedback
833,"Hmm, I don't understand what U teach. 
Ur explanatiin too fast, 
It look like Ure being chased by a dog.",1,Error in the video
837,How can I copy the link?,1,Questions
847,"Thanks a lot,darling.
It was so interesting,and my level is B2.
Keep going.ğŸ‘â˜ºï¸
Have a wonderful time.ğŸ™‹â€â™€ï¸
From Iraq
â¤ï¸ğŸŒ¹â¤ï¸ğŸŒ¹â¤ï¸ğŸŒ¹â¤ï¸ğŸŒ¹â¤ï¸",1,Positive Feedback
848,"I love your videosâ¤. Watching from Tehran, Iran",1,Positive Feedback
852,Love you and your material Marina.,1,Positive Feedback
854,"Im my dream school ğŸ¥° thank you for sharing those motivating words , hopefully i will get into Stanford university in 2029 to study business ( bank business)",1,Positive Feedback
855,wow sweet voice and magical recomendation,1,Positive Feedback
858,"Thank u for this video

This helped me a lot",1,Error in the video
861,Thank you,1,Positive Feedback
862,"Amazing Marina!! ğŸ‘ 
What's your suggestion to how get the US visa and come to US by any other visa or case? If you can help me in this section, it would be great.  Cause I really try to come US to study and work but there are some things that don't let to go also y financial situation isn't so good and am personally looking for some full fund scholarship to get but most of them needs TOEFL, IELTS  and more. 
Am from Afghanistan and am always watching your videos and appreciate your time, hard works and amazing energy and enthusiasm that u have motivate me to learn new things and I'm so thankful â¤ ğŸ˜Š 
So I'll be happy if u can help me out with ur incredible experiences and suggestions plz 
Thanks a bunch â¤ğŸŒ¹ğŸ¥°",1,Positive Feedback
864,"A message to every foreigner who does not know the Palestinian issue.  I wanted to talk about it.  When the First World War broke out, the Zionist entity was hated by the Germans, so they went to Palestine because it was the most peaceful country.  Palestine welcomed them, and after a while they went to the Zionists, telling us that we want our rights, that they wanted to make their own land on Palestinian land, and the Palestinians said it.  This is our land, we cannot give it to you, so they took advantage of the fact that there were a large number of them in Palestine, so they started a war and occupied it.  I imagine that you are helping someone and leaving you and taking your land.  Try to search for Palestine.  God willing, you will benefit.  I am an Arab and I am 14 years old.  I may have a spelling error, but thank you very much.  For everyone who read my comment ğŸ‡¯ğŸ‡´ğŸ‡µğŸ‡¸â¤ï¸",1,Personal Story
867,Thank you,1,Positive Feedback
869,Thanks Mariya i have started from today,1,Positive Feedback
870,And l always suggest your channel all my friends and relatives you are really intellegent person for meâ¤,1,Positive Feedback
871,And l always suggest your channel all my friends and relatives you are really intellegent person for meâ¤,1,Positive Feedback
873,Hello and conguratulations from Uzbekistan and ald thanks you very very muchâ¤,1,Positive Feedback
885,Hi how do you do dear I have no chance to message you because last two days back war was started between isreal and Polesthine I think it goes like the same 3 world War will be started soonly because America also ready to support to isreal indeed if America joined in this Russia also would be joined afterwards so everyone should pray war should not be raised in the world it is more dangerous to all over world dear,1,Questions
886,Marina listen.I'm still love learning languages)Right now I only start learn Turkish so my brain enjoy.I don't know will it be useful on futureğŸ¥ºğŸ¥ºğŸ¥º,1,New Subscriber
889,"ğŸ¯ Key Takeaways for quick navigation:
01:39 ğŸ§  Relate new words to yourself for better memorization.
02:09 âœï¸ When encountering newwords in books or movies, write down only those that relate to you or that you've heard before but still don't know.
05:11 ğŸ  Create a memory palace or space with flashcards to associate new words with objects or concepts, aiding memorization.
07:35 ğŸ“š Avoid translating words on flashcards; instead, write explanations in English for better long-term retention.
09:25 ğŸ§  Use the ""90 second method"" to repeat phrases seven to nine times for improved memorization and long-term retention.
11:17 ğŸ“– Incorporate new words into stories or diary entries to practice and remember them effectively.
12:59 ğŸ“ Place post-it notes with new words on objects you see daily to reinforce your memory.
13:41 ğŸ“š Space your learning and focus on 3-5 new words a day for more effective vocabulary acquisition.",1,Positive Feedback
892,"I had watched this video and I realized that my listening ability is not bad as i think. Basically the reason is that I do not have the right way to practise listening. Thank linguamarina, your video is extremely useful and it helps me a lot enhance my listening skills",1,New Subscriber
895,Thank You so much for making these videos. Because of listening to you my English accent is so good now. I don't have a lot of vocabulary but I am very happy that I now can speak English very easily.,1,New Subscriber
897,Recently I watched one of  your video that you have posted 2 years ago. There is a huge different in the videos and It's amazing. I love the way you are doing now in your videosğŸ˜Šâ¤.,1,New Subscriber
899,From Tanzania help me I need to learn English language,1,Requests for Future Content
904,A wonderful video. I liked it very much. It is the best way to learn. I hope you will make more videos like this,1,Requests for Future Content
906,"Unfortunately the free workbook is not available, I didn't receive it in the mail",1,Requests for Future Content
909,Love youğŸ«¶ the best teacher ever â¤ğŸ¥°,1,Positive Feedback
913,i want to become a cardiologist,1,Personal Story
926,"Hello i'm in srilanka justin beiber name use and put sound in my ears daily life human body machine mind use find unknown man
Plz,? Nademal perera artist??
Romesh sugathapala, chamika karunarathna, dhanushka gunathilaka, dananjaya de silva
Himasha hasanthika
Can't tie a knot personal life
1999.02.16",1,Personal Story
932,I have been following linguamarina since 2021,1,Positive Feedback
933,"thanks, you so much i am learning new words as i am going to take my ielts speaking test. This video is amazing and quite helpful. thanks",1,Personal Story
936,this is amazing content,1,Personal Story
938,"After being recommended english teaching videos, I can safely say I don't know why I'm here. I speak english, it is literally my first language. Why am I watching videos that teach you to learn english??",1,New Subscriber
939,"Such an interesting video, really enjoyed your insights:)",1,New Subscriber
940,"Plunge, of course. My reading & listening skills r in C zone but my speaking & writing skills r on B zone.",1,Questions
941,I felt so proud at the end with â€œdoneâ€ğŸ˜,1,Positive Feedback
942,Thanks this vedio helped me most,1,Positive Feedback
944,I'm watching and listening your video.Thank you for helping me to improve my English.,1,Positive Feedback
949,Thank miss â¤â¤ God blessed you with your family,1,Positive Feedback
950,In my opinion marina should post about a little more advanced English,1,Community
955,Wats your workbook name please? Iâ€™m fluent but want to expand my vocabulary and have accent . I have Pakistani accent that I want to change. Fedup of it ğŸ˜”,1,New Subscriber
957,thank you so much but we wanna more videos like that please teacher,1,Requests for Future Content
959,"I'm at B2 :( I thought that I was at C2 since I took your test a couple months ago and the result I got was ""advanced""
I feel disappointed",1,Personal Story
962,You're the best,1,Positive Feedback
965,"You 're amazing ,I'm a big fan to you please keep going",1,Positive Feedback
968,"Methods in the video : feeling the touch and  the taste of the subject Iâ€™m reading. 

Me who is reading biology.",1,Personal Story
970,I dont know english how to learn ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢,1,Joking
973,"Great, thanks for this amazing idea, im waiting for new dialogs! P.s. watching u from ur native country =)",1,Positive Feedback
974,"Marina, thank you for making this video. I continue to learn English well. Thanks for the advice. We learners need a teacher like you.",1,New Subscriber
978,"Marina, thank you for making this vedio. I always remember your advice for learning English. You are the best teacher I have ever known.",1,New Subscriber
983,i m watching this from Uzbekistan. Video is so interesting and well-planned  i always watch your contents coz i really love them. also your pronunciation is clear,1,New Subscriber
984,You know you are soo much pretty and beautiful,1,Positive Feedback
985,"I have doubts about c1 test which is ""if you will follow me...."" I thought where is ""if "", there is no ""will""...",1,Questions
994,My test is in three months. I need 110,1,Personal Story
998,thanks very much â¤ï¸â¤ï¸,1,Positive Feedback
1001,"You are so much beautiful ğŸ˜, pretty, sweet and 9ice voices â¤ï¸, greetings â™¥ï¸ ğŸ™ to you all the ways from Denmark ğŸ™ ğŸ’– â™¥ï¸ ğŸ‡©ğŸ‡°",1,Positive Feedback
1004,I have struggled with my spoken English all the time. And your video do help me a lot. And l begin to step my foot out,1,Personal Story
1011,"Great video, trading come with a lot of benefits And
I have just bought my first house through it.
As a beginner I was scared of loosing my savings but 
Iâ€™m glad I took the bold step that is now favoring me.",1,Positive Feedback
1012,I'm writing on 14th of October and this vidoe has taught me a lot.,1,Personal Story
1014,"Really helpful, I'm impressed.",1,Positive Feedback
1017,Thank you so much for this amazing meditation ğŸ™,1,Positive Feedback
1022,Thanks,1,Positive Feedback
1024,That intro is really cheesy ğŸ˜‚,1,Joking
1032,"Marina,  This is a *Top-notch* Video, ( Actually ),",1,Positive Feedback
1035,For me learning foreign languages is an obligation because our prophet Mohamed peace be upon him said that who learns a people's language he will be in safe from thier evil and harm,1,New Subscriber
1040,"How many languages do you know?
How do you find time to learn so many languages?",1,Questions
1042,Thanks a lot for sharing,1,Positive Feedback
1045,Thank you but my speaking doesn't improve,1,Positive Feedback
1046,"I am from India and your video gonna help all those peoples who are really passionate to learn English language, me also ğŸ˜… so I want to say thank you so much for everything â¤",1,Positive Feedback
1047,"Hi! I am Hamza Mehmood. I have experience in graphic designing and computer networking. I can provide you:
Thumbnail designs
Logo design
Video editing
Image editing
I can make thumbnail for your video in FreeğŸ¤—.",1,New Subscriber
1048,"Hi! I am Hamza Mehmood. I have experience in graphic designing and computer networking. I can provide you:
Thumbnail designs
Logo design
Video editing
Image editing
I can make thumbnail for your video in FreeğŸ¤—.",1,New Subscriber
1050,Welcome â¤ hopefully u stay permanently!ğŸ‡ºğŸ‡¸,1,Positive Feedback
1055,Nice narrative. You are lovely. â¤,1,Positive Feedback
1056,Nive narrative. You are lovely. â¤,1,Positive Feedback
1059,"hi maam marina, im leonel from phillippines. i started downloading your video specially your english grammar lesson and i learned a lot from it. im still shy to speaking english language  because no one appriciate me here in my local bario. hope you keep making long vedio about english. i making your vedio as my radio to listen every morning while im doing my house choir. i want to send myself to english school to learn english but i dont have money to afford expensive tuition fees. but when i wacth your vedio myself started to dream again to learn in english. thank you for your effort to download vedio like this. this mking me hope to learn english for  free. today is october 09 2023. the day when i found like you teaching is for free.",1,Personal Story
1065,Yes i fund it's very important to learn english,1,Questions
1075,My test is in exactly a week and I need to score 98+ on the exam! ğŸ˜…,1,Joking
1076,"Task with answer,, aside,, is it possible to change on ,, out ,, ?",1,Questions
1078,"Marina, your content is a sight for sore eyes ğŸ‘ğŸ‘ğŸ‘ Thank you so much for your positivity, energy, smile and great mood. Indeed, now is the time of artificial intelligence and whoever learns how to use it first will be at the top ğŸ˜‰ğŸ˜‰ğŸ˜‰",1,Positive Feedback
1083,"Hey everyone! My name is Shivesh. I am an Upper intermediate to Advanced English learner and I live in India. I have been studying English for a few years, but now I really want to get a better job. So, I need to improve my English. I am looking for a speaking partner to practice with two times a week. I can meet via Google meet, Zoom, or WhatsApp. Would anyone like to practice with me and improve their English too?",1,Personal Story
1087,The plan is not available I tried to send many emails !,1,Requests for Future Content
1088,"You are not even an English teacher. 
How can you record a video like that?",1,Error in the video
1090,"ğŸ¯ Key Takeaways for quick navigation:
00:29 ğŸ“ A 30-day English learning plan is outlined for improved fluency.
00:57 ğŸ“‹ Start with a test to assess your English skills and set specific learning goals.
03:19 ğŸ¥ Watch TED videos on topics that interest you and engage in comprehension tests and discussions.
04:29 âœï¸ Write an essay about your ideal day in five years to align language learning with your life goals.
05:11 ğŸ“š Focus on grammar topics you struggle with using resources like British Council websites.
06:06 ğŸ“– Select 10 useful words, create sentences, and memorize them to expand your vocabulary.
06:22 ğŸŒ Use English in your free time, like watching English videos, to immerse yourself in the language.
08:12 ğŸ—’ï¸ Plan your next steps once you reach an advanced level, such as applying for universities.
09:22 ğŸ“– Download a grammar workbook to practice essential grammar topics.
10:46 ğŸ”„ Review the most challenging topics from your notes to reinforce your understanding.
12:08 ğŸ“Š Retake the initial test to measure your progress and share your results to build a supportive community.",1,Community
1092,"Yes Marina, It's essential for me to learn English from you and thank you for introducing online jobs. I need to work in an online job Marina. You are a kind person. Nobody helps me to earn good money, but you are helping me Marina
.",1,Positive Feedback
1094,I am watching from Bangladesh. I learned many things from you.,1,New Subscriber
1099,Thank you for showing us all this. It is very useful!,1,Personal Story
1101,Overcoming fear of speaking English...,1,New Subscriber
1103,"was here to learn German but ended up finding tokio hotel 
i am gen z so i never knew about them but now i know their songs are really great XD",1,New Subscriber
1105,Thank u Marina. I always try to hear ur accent & wanna make me like u.Thank u again inspiring me as well as my elder daughter.,1,Positive Feedback
1110,"Yes definitely, you can't do almost everything or learn anything if you don't know English, and your video is an example, your video is in English, the title is en English, I wouldn't find it if I don't know English ğŸ˜¬ğŸ¤·ğŸ»â€â™‚ï¸",1,New Subscriber
1111,ahahaha that's how you make arabic videos oooooh hahaha i  tought you were really speaking arabic,1,Joking
1130,I definitely download itâ¤,1,Positive Feedback
1131,I started following you today cause I need to develop my skills in eng and write my own grammar n etc. Notebook cause Iâ€™m planning to be an English teacher in Turkey n start my career soon in those two years thank you for your useful contact videos with all my love to you ur new student Jud ğŸ©¶,1,New Subscriber
1134,"Which one is correct.
1. I watch grammar videos to improve my English.
2. I watch grammar videos for improving my English.",1,New Subscriber
1136,love your video so much thank for a meaningful videoâ¤,1,Positive Feedback
1146,Great video! but I think the test for level A1-A2 was more at level B1. I think the level is too high for beginners.,1,New Subscriber
1153,"1 - malay
2 - 6 to 8
3 - i don't know
4 - play games
5 - go to school",1,Promoting socials
1159,I need English native teacher  could you please help me,1,Requests for Future Content
1161,"You are the best teacher . I ve learned lot,s of things from you . Please make a video about pronunciation of words in an American accent",1,Requests for Future Content
1173,Thank you for giving me Detention and in school suspension not worth it,1,Positive Feedback
1180,Loving the intro!,1,Positive Feedback
1186,Actually l want to say thank you to you for this ğŸ’,1,Positive Feedback
1187,"I don't know why, I can only speak English when Iâ€™m alone at home and Iâ€™m scared when I meet people. Answer me if you can",1,Personal Story
1189,Capcut for captions is good too,1,Constructive Criticism
1191,Thank you so much mam for your kind efforts,1,Positive Feedback
1194,Thank you a lot for this video! It is very helpful and gives so much needed information.,1,Community
1201,"Marina, learn English",1,New Subscriber
1203,"Thank you for this, im currently studying for a big exam for IT and im overwhelmed especially when im no longer college age",1,Positive Feedback
1211,You r awesome creator,1,Positive Feedback
